Product,Link,Stars,Reviews,Prime Availability,Price,Shipping,Total Cost
"Transformers Toys Studio Series 65 Voyager Class Transformers: Bumblebee Movie Blitzwing Action Figure - Ages 8 and Up, 6.5-inch",https://amazon.com/Transformers-Studio-Voyager-Bumblebee-Blitzwing/dp/B083VM79RV/ref=sr_1_20?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-20,4.8,567,Y,42.46,,42.46
"Transformers Toys Studio Series 61 Voyager Class Dark of The Moon Sentinel Prime Action Figure – Adults and Kids Ages 8 and Up, 6.5-inch",https://amazon.com/Transformers-Studio-Voyager-Sentinel-Action/dp/B083VLM939/ref=sr_1_21?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-21,4.7,989,Y,69.99,,69.99
Transformers TRA GEN Studio Series Voyager Opt Prime,https://amazon.com/Transformers-TRA-Studio-Voyager-Prime/dp/B07BSWT6WL/ref=sr_1_22?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-22,4.7,301,N,189.95,$4.90 shipping,194.85
"Transformers Toys Studio Series 67 Voyager Class Transformers: Revenge of The Fallen Constructicon Skipjack Action Figure - Ages 8 and Up, 6.5-inch",https://amazon.com/Transformers-Voyager-Revenge-Constructicon-Skipjack/dp/B083VMF672/ref=sr_1_23?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-23,4.8,303,Y,27.99,,27.99
"Transformers Toys Studio Series 55 Leader Class Revenge of The Fallen Constructicon Scavenger Action Figure - Kids Ages 8 & Up, 8.5""",https://amazon.com/Transformers-Studio-Revenge-Constructicon-Scavenger/dp/B07WV5CP3Z/ref=sr_1_24?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-24,4.8,850,N,37.43,FREE Shipping,37.43
Disguise Men's Hasbro Age Of Extinction Optimus Prime Bodysuit Costume,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A005590721O1BNC0C2WA8&url=%2FDisguise-Transformers-Extinction-Optimus-Bodysuit%2Fdp%2FB00J9C69PU%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3Dtransformers%2Bstudio%2Bseries%26qid%3D1626662788%26sr%3D8-25-spons%26psc%3D1%26smid%3DAGJDVYHRGSPCF&qualifier=1626662788&id=4694986006639205&widgetName=sp_mtf,3.8,11,N,24.99,$4.00 shipping,28.99
"karsiqi Deformation Car for Kids, Remote Control Transform Robot Toys for Children, Boys & Girls, Electronic RC Transform Car Robot with One Button Transformation 1:18 Scale (Red)",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08366252MPG30C7Z9C7D&url=%2Fkarsiqi-Deformation-Transform-Electronic-Transformation%2Fdp%2FB0824SXH2X%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26keywords%3Dtransformers%2Bstudio%2Bseries%26qid%3D1626662788%26sr%3D8-26-spons%26psc%3D1&qualifier=1626662788&id=4694986006639205&widgetName=sp_mtf,3.7,201,Y,19.99,,19.99
"Remote Control Car - Transform Car Robot Rc Car Deformation Toy for Kids Boys Girls,1:18 Scale Remote Control Transforming Car with One Button Transformation & 360° Rotating Drifting-Orange",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06297203O04239V52PC&url=%2FCars-Transform-Robot-Deformation-Girls%2Fdp%2FB089QHCQNV%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dtransformers%2Bstudio%2Bseries%26qid%3D1626662788%26sr%3D8-27-spons%26psc%3D1&qualifier=1626662788&id=4694986006639205&widgetName=sp_mtf,4.1,115,Y,18.99,,18.99
"Transformers E0980 MV6 Studio Series 50 Tf1 Blackout Action Figure, Black",https://amazon.com/Transformers-Studio-Leader-Decepticon-Blackout/dp/B0721JXH3N/ref=sr_1_28?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-28,4.7,298,N,180.0,$5.17 shipping,185.17
Tra Gen Studio Series Voyager Starscream,https://amazon.com/Transformers-Studio-Voyager-Class-Starscream/dp/B076Q3ZBDZ/ref=sr_1_29?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-29,4.7,318,Y,43.99,,43.99
